date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:57:10	12958/12958	---M-Z	200	added ('OK')	text/css	etag:%22329e-5eeefb23-a05a561f0e974eb1;gz%22	http://brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/fonticons/simplelineicons/css/simple-line-icons.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:10	57987/57987	---M-Z	200	added ('OK')	text/css	etag:%22e283-5eeefb24-6ed13a52dd8f34e8;gz%22	http://brom.c-kav.com/preview-demos/vendor/animate-css/animate.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/animate-css/animate.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:10	155758/155758	---M-Z	200	added ('OK')	text/css	etag:%222606e-5eeefb24-6798dbb61afb9d0d;gz%22	http://brom.c-kav.com/preview-demos/vendor/bootstrap/css/bootstrap.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/bootstrap/css/bootstrap.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:11	26759/26759	---M-Z	200	added ('OK')	text/css	etag:%226887-5eeefb24-25ebaf2c16ec66a7;gz%22	http://brom.c-kav.com/preview-demos/vendor/sweetalert/sweetalert2.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/sweetalert/sweetalert2.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:11	321/321	---M-Z	200	added ('OK')	text/css	etag:%22141-5eeefb24-58142f2bd0455d12;gz%22	http://brom.c-kav.com/preview-demos/vendor/jarallax/jarallax.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/jarallax/jarallax.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:12	3351/3351	---M-Z	200	added ('OK')	text/css	etag:%22d17-5eeefb24-803813817e498a31;gz%22	http://brom.c-kav.com/preview-demos/vendor/owlcarousel/owl.carousel.min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/owlcarousel/owl.carousel.min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:12	6951/6951	---M-Z	200	added ('OK')	text/css	etag:%221b27-5eeefb23-934fb60584bde068;gz%22	http://brom.c-kav.com/preview-demos/vendor/magnific-popup/magnific-popup.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/magnific-popup/magnific-popup.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:13	107/107	---M--	200	added ('OK')	text/css	etag:%226b-5eeefb24-1e5bf2db076d1557;;;%22	http://brom.c-kav.com/preview-demos/vendor/snow3d/snow-effect.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/vendor/snow3d/snow-effect.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:14	966/966	---M-Z	200	added ('OK')	text/css	etag:%223c6-5eeefb22-36a9ce1dfdd123d2;gz%22	http://brom.c-kav.com/preview-demos/css/template-custom.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/css/template-custom.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:17	46555/46555	---M--	200	added ('OK')	image/png	etag:%22b5db-5eeefb23-87eabe05ffc9a96a;;;%22	http://brom.c-kav.com/preview-demos/images/logo.png	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/logo.png	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:24	422514/422514	---M-Z	200	added ('OK')	text/css	etag:%2267272-5eeefb22-e2c0ee7f32dfcf8c;gz%22	http://brom.c-kav.com/preview-demos/minify/ckav_min.css	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/minify/ckav_min.css	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:57:48	77754/77754	---M--	200	added ('OK')	image/jpeg	etag:%2212fba-5eeefb23-3e99ab7c0addcad;;;%22	http://brom.c-kav.com/preview-demos/images/grid-portfolio-01.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/grid-portfolio-01.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:58:18	261845/261845	---M--	200	added ('OK')	image/jpeg	etag:%223fed5-5eeefb23-bdcbbb62b1d7ce63;;;%22	http://brom.c-kav.com/preview-demos/images/half-bg-01.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/half-bg-01.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
10:58:22	53986/53986	---M--	200	added ('OK')	image/jpeg	etag:%22d2e2-5eeefb23-6c4daaaf96e7b561;;;%22	http://brom.c-kav.com/preview-demos/images/grid-portfolio-03.jpg	C:/My%20Web%20Sites/sample%202/brom.c-kav.com/preview-demos/images/grid-portfolio-03.jpg	(from http://brom.c-kav.com/preview-demos/index-07.html)
